"prior_id","individual_id","jobs","wage","commute_time","applications","be one of the first to apply","0-4 applications","5-20 applications","51-200 applications","200+ applications"
1,1,"jobA","$25","30 min","200+ applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,1,"jobB","$12","30 min","be one of the first to apply",-0.3,-0.3,-0.3,-0.3,-0.3
1,1,"jobC","$12","30 min","no information",-0.3,-0.3,-0.3,-0.3,-0.3
1,2,"jobA","$12","30 min","0-4 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,2,"jobB","$12","30 min","200+ applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,2,"jobC","$25","30 min","5-20 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,3,"jobA","$25","15 min","0-4 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,3,"jobB","$12","15 min","no information",-0.3,-0.3,-0.3,-0.3,-0.3
1,3,"jobC","$25","15 min","be one of the first to apply",-0.3,-0.3,-0.3,-0.3,-0.3
1,4,"jobA","$12","30 min","be one of the first to apply",-0.3,-0.3,-0.3,-0.3,-0.3
1,4,"jobB","$12","30 min","no information",-0.3,-0.3,-0.3,-0.3,-0.3
1,4,"jobC","$25","30 min","51-200 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,5,"jobA","$12","15 min","51-200 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,5,"jobB","$25","30 min","no information",-0.3,-0.3,-0.3,-0.3,-0.3
1,5,"jobC","$25","30 min","5-20 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,6,"jobA","$12","15 min","5-20 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,6,"jobB","$12","15 min","no information",-0.3,-0.3,-0.3,-0.3,-0.3
1,6,"jobC","$25","15 min","be one of the first to apply",-0.3,-0.3,-0.3,-0.3,-0.3
1,7,"jobA","$12","30 min","5-20 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,7,"jobB","$25","30 min","be one of the first to apply",-0.3,-0.3,-0.3,-0.3,-0.3
1,7,"jobC","$12","30 min","0-4 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,8,"jobA","$12","45 min","be one of the first to apply",-0.3,-0.3,-0.3,-0.3,-0.3
1,8,"jobB","$25","45 min","5-20 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,8,"jobC","$12","45 min","51-200 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,9,"jobA","$25","30 min","200+ applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,9,"jobB","$25","30 min","51-200 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,9,"jobC","$12","15 min","be one of the first to apply",-0.3,-0.3,-0.3,-0.3,-0.3
1,10,"jobA","$12","45 min","51-200 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,10,"jobB","$25","45 min","0-4 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,10,"jobC","$12","45 min","200+ applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,11,"jobA","$25","45 min","no information",-0.3,-0.3,-0.3,-0.3,-0.3
1,11,"jobB","$12","45 min","5-20 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,11,"jobC","$12","45 min","0-4 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,12,"jobA","$12","15 min","no information",-0.3,-0.3,-0.3,-0.3,-0.3
1,12,"jobB","$25","15 min","0-4 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,12,"jobC","$12","15 min","5-20 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,13,"jobA","$25","30 min","5-20 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,13,"jobB","$12","30 min","51-200 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,13,"jobC","$12","30 min","200+ applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,14,"jobA","$25","15 min","200+ applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,14,"jobB","$12","15 min","5-20 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,14,"jobC","$12","15 min","0-4 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,15,"jobA","$12","30 min","be one of the first to apply",-0.3,-0.3,-0.3,-0.3,-0.3
1,15,"jobB","$12","30 min","200+ applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,15,"jobC","$25","30 min","no information",-0.3,-0.3,-0.3,-0.3,-0.3
1,16,"jobA","$12","45 min","0-4 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,16,"jobB","$25","60 min","200+ applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,16,"jobC","$25","60 min","51-200 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,17,"jobA","$25","30 min","no information",-0.3,-0.3,-0.3,-0.3,-0.3
1,17,"jobB","$12","15 min","51-200 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,17,"jobC","$25","30 min","0-4 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,18,"jobA","$25","30 min","51-200 applications",-0.3,-0.3,-0.3,-0.3,-0.3
1,18,"jobB","$25","30 min","be one of the first to apply",-0.3,-0.3,-0.3,-0.3,-0.3
1,18,"jobC","$12","15 min","200+ applications",-0.3,-0.3,-0.3,-0.3,-0.3
2,1,"jobA","$12","15 min","no information",0,-0.3,-0.3,-0.3,-0.3
2,1,"jobB","$25","15 min","0-4 applications",0,-0.3,-0.3,-0.3,-0.3
2,1,"jobC","$12","15 min","be one of the first to apply",0,-0.3,-0.3,-0.3,-0.3
2,2,"jobA","$25","15 min","200+ applications",0,-0.3,-0.3,-0.3,-0.3
2,2,"jobB","$12","15 min","5-20 applications",0,-0.3,-0.3,-0.3,-0.3
2,2,"jobC","$12","15 min","no information",0,-0.3,-0.3,-0.3,-0.3
2,3,"jobA","$12","30 min","0-4 applications",0,-0.3,-0.3,-0.3,-0.3
2,3,"jobB","$12","30 min","51-200 applications",0,-0.3,-0.3,-0.3,-0.3
2,3,"jobC","$25","30 min","200+ applications",0,-0.3,-0.3,-0.3,-0.3
2,4,"jobA","$25","60 min","51-200 applications",0,-0.3,-0.3,-0.3,-0.3
2,4,"jobB","$25","60 min","200+ applications",0,-0.3,-0.3,-0.3,-0.3
2,4,"jobC","$12","45 min","0-4 applications",0,-0.3,-0.3,-0.3,-0.3
2,5,"jobA","$12","15 min","200+ applications",0,-0.3,-0.3,-0.3,-0.3
2,5,"jobB","$25","30 min","no information",0,-0.3,-0.3,-0.3,-0.3
2,5,"jobC","$25","30 min","0-4 applications",0,-0.3,-0.3,-0.3,-0.3
2,6,"jobA","$12","45 min","0-4 applications",0,-0.3,-0.3,-0.3,-0.3
2,6,"jobB","$25","45 min","no information",0,-0.3,-0.3,-0.3,-0.3
2,6,"jobC","$12","45 min","51-200 applications",0,-0.3,-0.3,-0.3,-0.3
2,7,"jobA","$25","45 min","200+ applications",0,-0.3,-0.3,-0.3,-0.3
2,7,"jobB","$25","45 min","0-4 applications",0,-0.3,-0.3,-0.3,-0.3
2,7,"jobC","$12","30 min","5-20 applications",0,-0.3,-0.3,-0.3,-0.3
2,8,"jobA","$12","45 min","be one of the first to apply",0,-0.3,-0.3,-0.3,-0.3
2,8,"jobB","$12","45 min","5-20 applications",0,-0.3,-0.3,-0.3,-0.3
2,8,"jobC","$25","45 min","no information",0,-0.3,-0.3,-0.3,-0.3
2,9,"jobA","$12","60 min","be one of the first to apply",0,-0.3,-0.3,-0.3,-0.3
2,9,"jobB","$12","60 min","200+ applications",0,-0.3,-0.3,-0.3,-0.3
2,9,"jobC","$25","60 min","5-20 applications",0,-0.3,-0.3,-0.3,-0.3
2,10,"jobA","$25","30 min","be one of the first to apply",0,-0.3,-0.3,-0.3,-0.3
2,10,"jobB","$12","30 min","no information",0,-0.3,-0.3,-0.3,-0.3
2,10,"jobC","$12","30 min","200+ applications",0,-0.3,-0.3,-0.3,-0.3
2,11,"jobA","$12","15 min","5-20 applications",0,-0.3,-0.3,-0.3,-0.3
2,11,"jobB","$25","15 min","be one of the first to apply",0,-0.3,-0.3,-0.3,-0.3
2,11,"jobC","$12","15 min","51-200 applications",0,-0.3,-0.3,-0.3,-0.3
2,12,"jobA","$25","15 min","5-20 applications",0,-0.3,-0.3,-0.3,-0.3
2,12,"jobB","$12","15 min","51-200 applications",0,-0.3,-0.3,-0.3,-0.3
2,12,"jobC","$12","15 min","200+ applications",0,-0.3,-0.3,-0.3,-0.3
2,13,"jobA","$25","45 min","51-200 applications",0,-0.3,-0.3,-0.3,-0.3
2,13,"jobB","$12","45 min","be one of the first to apply",0,-0.3,-0.3,-0.3,-0.3
2,13,"jobC","$12","45 min","0-4 applications",0,-0.3,-0.3,-0.3,-0.3
2,14,"jobA","$25","30 min","0-4 applications",0,-0.3,-0.3,-0.3,-0.3
2,14,"jobB","$25","30 min","5-20 applications",0,-0.3,-0.3,-0.3,-0.3
2,14,"jobC","$12","30 min","be one of the first to apply",0,-0.3,-0.3,-0.3,-0.3
2,15,"jobA","$12","45 min","no information",0,-0.3,-0.3,-0.3,-0.3
2,15,"jobB","$12","45 min","5-20 applications",0,-0.3,-0.3,-0.3,-0.3
2,15,"jobC","$25","45 min","51-200 applications",0,-0.3,-0.3,-0.3,-0.3
2,16,"jobA","$25","30 min","51-200 applications",0,-0.3,-0.3,-0.3,-0.3
2,16,"jobB","$12","15 min","200+ applications",0,-0.3,-0.3,-0.3,-0.3
2,16,"jobC","$25","30 min","be one of the first to apply",0,-0.3,-0.3,-0.3,-0.3
2,17,"jobA","$25","45 min","no information",0,-0.3,-0.3,-0.3,-0.3
2,17,"jobB","$12","30 min","51-200 applications",0,-0.3,-0.3,-0.3,-0.3
2,17,"jobC","$25","45 min","5-20 applications",0,-0.3,-0.3,-0.3,-0.3
2,18,"jobA","$12","15 min","no information",0,-0.3,-0.3,-0.3,-0.3
2,18,"jobB","$12","15 min","0-4 applications",0,-0.3,-0.3,-0.3,-0.3
2,18,"jobC","$25","30 min","be one of the first to apply",0,-0.3,-0.3,-0.3,-0.3
3,1,"jobA","$25","15 min","200+ applications",0.3,-0.3,-0.3,-0.3,-0.3
3,1,"jobB","$12","15 min","no information",0.3,-0.3,-0.3,-0.3,-0.3
3,1,"jobC","$12","15 min","be one of the first to apply",0.3,-0.3,-0.3,-0.3,-0.3
3,2,"jobA","$12","45 min","51-200 applications",0.3,-0.3,-0.3,-0.3,-0.3
3,2,"jobB","$12","45 min","200+ applications",0.3,-0.3,-0.3,-0.3,-0.3
3,2,"jobC","$25","45 min","5-20 applications",0.3,-0.3,-0.3,-0.3,-0.3
3,3,"jobA","$12","30 min","no information",0.3,-0.3,-0.3,-0.3,-0.3
